"asciiname","geonameid"
"Geliaoba",8555318
"Bayan He",2038406
"Guaishang",8419420
"Bayan Hushu Zhusilang",8443803
"Bayan Tal",8649066
"Wangfu",8555394
"Liu-chia",2048486
"Xiaoyushuying",8644961
"Beixing",8444580
"Limugou",8545791
"Chaowu Xian",2047544
"Hongwei",8439621
"Da Suj",2036607
"Xiangtuchang",8544056
"Huofang",8544183
"Toudaoqiao",8648971
"Enhe Hada",8441407
"Wanbaoshan",8444642
"Liaohe",8649514
"Hure Qi",2036629
"Baochang",2038461
"Shelihu Shuiku",8577326
"Anmoji",8444909
"Beigou",8467658
"Bayan Tal",2038379
"Hongliu Daquan",1529469
"Qiankaoshan",8439611
"Changhan Bulang",8553796
"Naogunmaodun",8524182
"Xigazhu Erzha Laga Jijing",8443786
"Sidaoliangzi",8467796
"Chenglugou",8555225
"Menggen Tuoya Gacha",8443720
"Wuchagou Southeast",11493721
"Linjiagebu",8470960
"Antege",8444599
"Changsheng",8649074
"Zhangjia Dayuan",8439374
"Sanchakou",2035184
"Bayantala Gacha",8524192
"Naogan Hahasha",8456920
"Shagedu",1796444
"Baileng",2051344
"Dongyingzi",8555283
"Dongyingzi",8644766
"Liufendi",2048601
"Dingjiatun",8439362
"Yu-shu-ling",2048306
"Tuanjie Sidui Nongyedian",8458317
"Zhengjiashan",8416802
"Tost",2034391
"Hongxing Dadui",8524227
"Ao-pao-t'u",2048211
"Halawu",1808990
"Sijiazi",2034726
"Narenbaolage",8649627
"BAOTOU SHENHUA INTERNATIONAL HO",6494243
"Suosuotou",8524184
"Tongsiyao",8419274
"Zhanglilu Goumen",8467523
"Huret",2036626
"Qiandemen",8649628
"Haibuzi",8644896
"Bayan Gol",2038410
"Hongge'ertu",8555051
"Dexingkui",8470692
"Dahekou",2037964
"Jaramtai",2036592
"Shangwujiapu",8467918
"Duolun Xian",2037529
"Yinzigou",8419211
"Sigesheng",8544050
"Xinminbu",8648870
"Pielaba",8467551
"Tangsifang",8555312
"Guanjiaying",8649305
"Datongyao",2037792
"Tuanjie Nongyedian",8458330
"Goulitou",8554049
"Eleshun",8649401
"Hsing-lung-ti",2048290
"Lu-t'ai-ying-tzu",2048484
"TIAN WAI TIAN HOTEL BAOTOU",6522725
"Tieshagai",8649168
"Xinbeixing",8444872
"Wuliji",8649169
"Xiyangpo",8544048
"Abag Qi",2038681
"Yihe Hure",8456931
"Xiaowotu",8544177
"Horqin Youyi Zhongqi",2036807
"Ulan Tohoi",2034298
"Erfenzi",8544093
"Baoyuanhao",8545965
"Honghuri",8456926
"Hsia-t'ang-ti",2048273
"Quanzigou",8416653
"Gangjiatun",8439567
"Malonggou",8467647
"Siyihe",8553752
"Jibt",2036521
"Xinhen Barun",2033713
"Guo'enqikan",8444894
"Kurigetai Gacha",8440065
"Bage Dawa",8444608
"Bagatala",8649394
"Xigou",8555231
"Sandaogou",8467713
"Shengli",8553808
"Caojia",8555388
"Shisan Gongli",8442314
"Ouli",2035526
"Tahilin Us",2034612
"Xiayingpan",8470770
"Ch'i-shan",2048270
"Tuanjie",8649579
"Bayin Tala Dahan'er Minzu",8443817
"Hualigeng",8544200
"Malianqu",8649078
"Alatan Aoxite Gacha",8443782
"Liming Daduiwushi Erdui",8458293
"Xar Moron Sum",2034051
"E'erkehashiha",8648737
"Hongqi Badui",8467660
"Siyanbu",8417293
"Yong'an",8444760
"T'ang-chia-ying-tzu",2048360
"Suotuhan Linchang",2051673
"Douquangou",8467725
"Zhanpu",8649569
"Longtoushan Sandui",8439536
"Xiaosai Wusu",8553773
"Wulantuge Gacha",8524218
"Xinyaomao",8418872
"Xiaodong Bujie",8544511
"Shuijiangou",8544321
"Miaogou",8555291
"Miehu",8416915
"Hegedong",8545794
"Xihei Shegou",8419247
"Da'erdaowa",8644891
"Boidonifhu-ko",2047559
"Tobq",2034431
"Dongshihao",8648948
"Xing'anbu",8467948
"Chaoyang",8444634
"Niujiayingzi",2035577
"T'ai-p'ing-kou",2048167
"Dayudian",8444933
"Cheng'ergou",8470842
"Kuilehe",8445007
"Bugeshao",8545609
"Laoshantou",8439320
"Mangluangou",8417141
"Dafuyingzi",8649321
"Tuchengzi",2034352
"Changtan",8648798
"Qigongli Bingbao",8442201
"Nanyingzi",8554048
"Taibus Qi",2034608
"Yujia Wazi",8444751
"Zhunsonggenai Wenduri",8440050
"Ma-chia",2048620
"Hengyilong",8555332
"Yaozhanluchang",8439279
"Shenshuigou",8545673
"Sanchahe Sandui",8439525
"Toudaogou",8554246
"Banfangtan",8553738
"Qiaodagedan",2051329
"Yupiyao",8417288
"Yudaihe",8444892
"Bayannur Airport",8260717
"Xiaohaizi",8553417
"Tabu Hudong",8553669
"Shuanghe",8467863
"P'ei-ying-hui",2048607
"Shunhe",8444916
"Nei Mongol Gaoyuan",2035608
"Halu Hudong",8545939
"Yongfatun",8439382
"Shiwan",8416618
"Yaozimian",8419604
"Wujia",8649234
"Hongyan",2036813
"Qiansheng",8555055
"Tarigen Nuo'er",8456898
"Yangshuwan",8644959
"Bisiyingzi",8649148
"Xiashuiquan",8469528
"Shiwuhao",8644814
"Tianshuigou",7526989
"Onggon Ul Sum",2035538
"Dayuanshan",8469626
"Best Western Henglong Hotel Haotou",10290721
"Hou'ashen Langgou",8545701
"Ordos Desert",1800271
"Chenyougou",8469552
"Hsi-shui-ch'uan",2048280
"Liuhao",2053019
